SITE CODE= ”ª‰¤ŽqŽs‘å‰¡’¬
LAT=  35.6645
LON= 139.3272
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 20
NS, EW, UD
   -0.009,    0.003,    0.000
   -0.003,    0.003,    0.001
    0.005,   -0.003,    0.000
    0.006,   -0.009,    0.002
   -0.002,   -0.009,    0.004
   -0.011,   -0.003,    0.005
   -0.012,    0.005,    0.002
   -0.005,    0.008,   -0.002
    0.003,    0.003,   -0.004
    0.005,   -0.005,   -0.002
    0.002,   -0.009,    0.001
   -0.001,   -0.006,    0.000
   -0.001,    0.000,   -0.003
   -0.001,    0.005,   -0.005
   -0.002,    0.004,   -0.002
   -0.003,   -0.000,    0.002
   -0.003,   -0.005,    0.005
    0.000,   -0.007,    0.002
    0.003,   -0.004,   -0.003
    0.002,    0.001,   -0.005
   -0.002,    0.005,   -0.002
   -0.005,    0.005,    0.000
   -0.006,    0.001,    0.000
   -0.003,   -0.004,   -0.002
    0.002,   -0.004,   -0.004
    0.004,    0.001,   -0.002
    0.002,    0.004,    0.002
   -0.006,    0.002,    0.004
   -0.012,   -0.004,    0.000
   -0.011,   -0.008,   -0.005
   -0.003,   -0.006,   -0.005
    0.006,    0.001,    0.000
    0.010,    0.004,    0.005
    0.005,    0.003,    0.005
   -0.005,   -0.002,   -0.001
   -0.012,   -0.003,   -0.006
   -0.010,    0.001,   -0.007
   -0.001,    0.004,   -0.003
    0.007,    0.002,    0.002
    0.008,   -0.004,    0.005
    0.000,   -0.005,    0.002
   -0.008,   -0.002,   -0.001
   -0.010,    0.005,   -0.002
   -0.004,    0.006,   -0.001
    0.004,   -0.001,    0.000
    0.005,   -0.009,    0.000
    0.001,   -0.011,   -0.001
   -0.003,   -0.002,   -0.001
   -0.003,    0.011,   -0.001
   -0.000,    0.015,   -0.001
   -0.001,    0.007,   -0.002
   -0.004,   -0.006,   -0.004
   -0.005,   -0.012,   -0.003
   -0.001,   -0.005,    0.001
    0.005,    0.007,    0.005
    0.004,    0.013,    0.005
   -0.007,    0.005,    0.001
   -0.016,   -0.008,   -0.004
   -0.014,   -0.013,   -0.005
    0.002,   -0.005,   -0.003
    0.015,    0.009,   -0.001
    0.012,    0.015,    0.000
   -0.005,    0.008,    0.000
   -0.021,   -0.005,    0.000
   -0.018,   -0.011,   -0.001
    0.003,   -0.008,   -0.002
    0.020,    0.000,   -0.002
    0.015,    0.005,   -0.002
   -0.009,    0.004,    0.000
   -0.028,   -0.001,    0.002
   -0.022,   -0.004,    0.001
    0.006,   -0.002,   -0.001
    0.027,    0.002,   -0.001
    0.020,    0.005,    0.000
   -0.009,    0.004,    0.004
   -0.031,   -0.002,    0.004
   -0.024,   -0.008,    0.000
    0.005,   -0.009,   -0.002
    0.026,   -0.003,   -0.001
    0.017,    0.007,    0.003
   -0.012,    0.010,    0.006
   -0.031,    0.003,    0.003
   -0.021,   -0.007,   -0.004
    0.006,   -0.007,   -0.006
    0.025,    0.002,   -0.001
    0.018,    0.010,    0.006
   -0.003,    0.005,    0.007
   -0.017,   -0.008,    0.000
   -0.015,   -0.016,   -0.008
   -0.003,   -0.008,   -0.008
    0.004,    0.009,    0.000
   -0.000,    0.017,    0.008
   -0.006,    0.007,    0.007
   -0.005,   -0.009,   -0.001
   -0.000,   -0.017,   -0.005
    0.000,   -0.008,   -0.002
   -0.004,    0.005,    0.003
   -0.011,    0.009,    0.004
   -0.009,    0.000,   -0.001
    0.001,   -0.008,   -0.004
    0.009,   -0.006,   -0.001
    0.009,    0.004,    0.005
    0.000,    0.010,    0.008
   -0.008,    0.003,    0.002
   -0.009,   -0.008,   -0.006
   -0.003,   -0.011,   -0.008
    0.004,   -0.001,   -0.001
    0.007,    0.009,    0.007
    0.006,    0.007,    0.009
    0.000,   -0.004,    0.002
   -0.007,   -0.010,   -0.005
   -0.014,   -0.004,   -0.007
   -0.012,    0.009,   -0.002
   -0.000,    0.012,    0.002
    0.013,    0.001,    0.004
    0.014,   -0.012,    0.002
   -0.004,   -0.013,    0.000
   -0.024,   -0.000,    0.001
   -0.027,    0.013,    0.002
   -0.007,    0.012,    0.000
    0.018,   -0.002,   -0.003
    0.023,   -0.014,   -0.004
    0.004,   -0.010,   -0.001
